City,q,Q_bc_avg
Harbin,0.9,0.00031346135918709794
Harbin,0.91,0.0003064696560082035
Harbin,0.92,0.00026801528852428446
Harbin,0.93,0.0002610235853453901
Harbin,0.94,0.00024820546285075044
Harbin,0.95,0.0002295609210403654
Harbin,0.96,0.0002097510953668314
Harbin,0.97,0.00019809825673534074
Harbin,0.98,0.00017712314719865756
Harbin,0.99,0.00015498275379882538
Harbin,1.0,0.0
Qingdao,0.0,0.8506549589750971
Qingdao,0.01,0.8333066431553189
Qingdao,0.02,0.814534151432273
Qingdao,0.03,0.7963284511299842
Qingdao,0.04,0.7769765726212753
Qingdao,0.05,0.7557686771268173
Qingdao,0.06,0.7294722542104506
Qingdao,0.07,0.7077704404779042
Qingdao,0.08,0.69123722470131
Qingdao,0.09,0.6479550525406651
Qingdao,0.1,0.6292014538649775
Qingdao,0.11,0.5879021520080611
Qingdao,0.12,0.5755928818194904
Qingdao,0.13,0.5362233697999137
Qingdao,0.14,0.5055068734705628
Qingdao,0.15,0.4788685763638981
Qingdao,0.16,0.43995429681877074
Qingdao,0.17,0.3996545271340146
Qingdao,0.18,0.37489293939830143
Qingdao,0.19,0.34578325176335095
Qingdao,0.2,0.26694796314956093
Qingdao,0.21,0.2726167770260544
Qingdao,0.22,0.2209550885274219
Qingdao,0.23,0.19420793148121487
Qingdao,0.24,0.19302936519360875
Qingdao,0.25,0.1447945156182525
Qingdao,0.26,0.12972146250179933
