排名,节点ID,X坐标,Y坐标,度数,介数中心性
621,1451,525725.5968,4608579.9555,4,0.01524428
622,8825,525101.0776,4618287.7913,6,0.01524073
623,8147,532238.9066,4617396.8207,3,0.01523872
624,21574,519478.7527,4625840.991,3,0.01519397
625,7731,533041.2958,4616797.5749,5,0.01517347
626,2881,543038.6012,4612550.7862,4,0.01515548
627,32557,549365.5971,4648110.5884,4,0.01513396
628,26342,544181.1453,4629177.6025,4,0.01511339
629,16014,537780.0651,4622933.8321,4,0.01506683
630,22099,547396.1197,4626161.938,4,0.01503742
631,29481,529656.6848,4635956.5028,2,0.01502688
632,5562,538031.7737,4615013.1345,4,0.01501633
633,33277,545749.8165,4654881.5385,4,0.01501256
634,30055,533796.3344,4638273.9514,4,0.01500757
635,32720,544216.3944,4649939.6019,3,0.01500227
636,10603,535065.3153,4620518.9377,3,0.01500058
637,34050,515766.79,4670273.4352,3,0.01499468
638,27364,529465.1662,4630654.1605,3,0.01497988
639,7754,540212.3133,4616823.5809,4,0.01497964
640,21795,510035.474,4625997.8891,4,0.01497908
641,3007,543220.2663,4612658.3473,4,0.01496824
642,15721,523645.9852,4622812.3708,5,0.01496341
643,8294,537962.2176,4617575.8942,4,0.01494665
644,26248,544207.6407,4629101.5334,3,0.01493033
645,23112,545244.7632,4626848.5927,4,0.01492932
646,9579,539192.7704,4619471.4773,4,0.01490235
647,18085,525037.784,4624021.6486,4,0.01489073
648,6453,537433.5875,4615613.7028,3,0.01483244
649,31109,555451.1444,4641132.3486,4,0.01483182
650,27187,533748.0399,4630409.5643,4,0.01481265
651,22597,542568.9182,4626555.671,3,0.01478736
652,29995,533781.2815,4638271.4817,3,0.01476178
653,27925,532639.4275,4631569.7141,2,0.01475161
654,6665,538329.5528,4615723.7239,3,0.01474717
655,37231,533896.7907,4638092.2346,4,0.0147084
656,16204,532313.5647,4623016.4167,5,0.01470224
657,18935,539712.206,4624441.17,4,0.01468735
658,6903,537433.5605,4615789.3795,4,0.01468012
659,10148,538679.5989,4620108.9142,3,0.01467639
660,15253,532516.6446,4622673.4541,3,0.0146654
661,7190,545966.7042,4616051.84,3,0.01465338
662,22320,544049.0172,4626322.3778,3,0.01465125
663,22620,544658.0244,4626575.6867,3,0.01458388
664,4402,549770.3006,4614311.3836,4,0.01455691
665,22996,545108.7945,4626773.5538,3,0.01451309
666,20685,522427.8638,4625368.4831,4,0.01449894
667,26264,544201.7106,4629116.1749,3,0.01445185
668,2128,550233.302,4611163.9177,4,0.01444547
669,25736,550341.7564,4628673.1411,4,0.01444067
670,6572,538292.564,4615687.6091,4,0.01442193
671,25667,533705.0799,4628617.8556,4,0.01441937
672,8502,540728.3153,4617806.12,4,0.01441185
673,36636,533157.7845,4628018.0202,4,0.0143653
674,17226,536272.8693,4623509.3672,4,0.01436243
675,7213,537634.4401,4616075.8914,4,0.01430489
676,2972,550125.5546,4612630.0941,4,0.01429499
677,17328,535024.9418,4623551.6757,4,0.01427988
678,3543,518733.9899,4613318.3967,3,0.01426325
679,858,551299.0655,4602654.7537,3,0.01426181
680,13019,533847.6171,4621878.881,3,0.01422354
681,21410,519910.5748,4625725.7154,3,0.01420922
682,10475,524274.0296,4620389.3366,4,0.01419087
683,14049,523433.8567,4622250.7611,3,0.01417828
684,3729,518674.2844,4613450.8695,2,0.01417659
685,2125,550617.5121,4611162.5248,3,0.01417312
686,14346,532572.1171,4622384.1267,3,0.01417052
687,11260,524252.4524,4620435.0169,2,0.01415207
688,14050,523954.1942,4621071.4858,2,0.01414311
689,11259,523969.1607,4621039.5495,2,0.01413325
690,5916,518009.1462,4615067.4464,2,0.01412895
691,6592,536576.6062,4615690.3834,4,0.01412114
692,8120,525426.358,4617371.5105,4,0.01411984
693,28597,495463.2422,4633548.8549,4,0.01410542
694,36620,533079.3654,4628000.971,4,0.01406947
695,22676,523561.4631,4626617.2357,4,0.01406256
