排名,节点ID,X坐标,Y坐标,度数,介数中心性
8095,2353,371025.4224,4300811.9069,3,0.00018477
8096,15696,378479.2799,4317957.6096,3,0.00018451
8097,12031,354293.3726,4310222.1114,3,0.00018442
8098,4195,371495.5558,4304223.9648,3,0.00018418
8099,12111,374237.792,4310297.1859,3,0.00018406
8100,6730,376161.556,4306840.3146,3,0.00018369
8101,17203,385798.3603,4321697.9961,2,0.0001836
8102,3663,373814.674,4303825.0514,3,0.0001835
8103,18821,394239.0773,4323673.7793,3,0.00018309
8104,33009,473152.6551,4428711.0785,3,0.00018291
8105,27166,420790.2651,4367105.831,3,0.00018255
8106,24209,420841.1508,4343171.3609,3,0.00018228
8107,271,341685.632,4290170.9398,3,0.00018222
8108,14369,374466.9042,4315091.6782,3,0.00018216
8109,2343,341152.7563,4300786.2973,2,0.00018214
8110,30004,496348.5282,4393077.6646,2,0.00018184
8111,22456,407010.0527,4328944.172,2,0.00018171
8112,257,338896.3883,4289986.1963,3,0.0001817
8113,13257,377322.1606,4312523.2981,2,0.00018167
8114,30023,401044.2085,4393197.7105,2,0.00018162
8115,17146,393340.0298,4321500.7612,4,0.0001816
8116,20432,399165.5213,4325540.5998,3,0.00018134
8117,11834,379020.8463,4310023.1299,3,0.00018128
8118,19297,399991.0246,4324221.7355,3,0.00018112
8119,19657,397018.7703,4324619.573,3,0.00018111
8120,29489,462789.0776,4390137.2063,3,0.00018093
8121,32243,536631.071,4412595.4169,3,0.0001809
8122,32102,539690.2388,4411129.4429,3,0.00018045
8123,26876,401935.1101,4365503.8916,2,0.00018041
8124,14834,376249.2568,4316101.8835,4,0.00018033
8125,18077,393580.6832,4322806.398,4,0.00018027
8126,13541,377430.2345,4313362.1987,3,0.00018017
8127,30937,496083.8971,4398677.4838,4,0.00017983
8128,11483,376520.3875,4309629.7254,3,0.00017966
8129,17327,395433.2722,4321899.0501,3,0.00017955
8130,1768,340475.9976,4298217.3462,4,0.00017928
8131,26091,398475.9057,4361096.7529,3,0.00017925
8132,27160,409893.9866,4367087.9716,4,0.00017906
8133,5371,376997.5782,4304972.9735,3,0.00017898
8134,31717,541166.0139,4407711.8512,3,0.00017897
8135,8493,381838.1443,4307992.48,3,0.00017896
8136,8716,338008.062,4308096.5744,3,0.00017883
8137,21845,390982.1926,4327396.3357,3,0.00017883
8138,13252,400784.3208,4312613.8669,3,0.0001788
8139,15746,378514.9189,4318093.3959,4,0.00017873
8140,15395,380161.1777,4317165.5222,3,0.00017865
8141,8303,385748.2031,4307933.8929,3,0.00017822
8142,1804,337623.5443,4298338.8526,3,0.00017821
8143,25053,395723.4119,4349169.5882,2,0.00017817
8144,34764,398174.3329,4326463.329,4,0.00017815
8145,8037,385387.0215,4307820.9839,3,0.00017815
8146,8185,385555.6989,4307881.688,3,0.00017815
8147,31980,381166.7889,4409892.1846,3,0.00017813
8148,24355,408248.8924,4343833.627,3,0.00017813
8149,30927,496089.9924,4398658.1932,2,0.0001781
8150,1045,350663.5807,4296997.9978,3,0.00017809
8151,1216,352592.0363,4297225.0047,3,0.00017809
8152,4233,377073.5142,4304256.5135,3,0.00017809
8153,14425,399305.9426,4315197.5745,3,0.00017801
8154,32827,399257.8194,4422500.2837,4,0.00017797
8155,9912,380066.6386,4308660.255,3,0.00017792
8156,856,338783.9239,4296683.0807,3,0.00017784
8157,4492,377114.7545,4304449.3733,3,0.00017782
8158,2006,340466.8346,4298861.6415,2,0.00017751
8159,12900,342864.2955,4311493.8565,3,0.00017729
8160,1668,340497.5405,4297847.6667,4,0.00017707
8161,34613,405950.6278,4325696.6063,3,0.00017695
8162,18834,396407.0663,4323698.8877,4,0.00017695
8163,12074,376370.2764,4310268.515,3,0.00017653
8164,11182,381575.3683,4309394.5486,2,0.00017636
8165,25899,434218.5507,4359532.5034,3,0.00017619
8166,1103,348995.2587,4297090.7299,3,0.00017609
8167,14657,399618.3256,4315688.2467,4,0.00017596
8168,5144,382300.7724,4304833.7689,4,0.0001758
8169,8355,380127.4143,4307944.5033,3,0.00017571
8170,1544,353292.322,4297663.3723,3,0.00017568
8171,11857,376623.434,4310046.4348,3,0.00017566
8172,17617,395554.6382,4322151.9206,3,0.00017565
8173,14380,374299.4785,4315101.3153,3,0.00017565
8174,17962,396710.4515,4322701.0051,3,0.00017559
8175,20098,397606.037,4325174.0336,3,0.00017525
8176,10396,374265.809,4308834.6112,3,0.00017523
8177,20102,397399.832,4325178.8415,4,0.00017518
8178,20859,399996.4565,4325980.2275,3,0.0001751
8179,18573,392348.0491,4323387.3684,4,0.00017504
8180,26836,438000.159,4363744.4439,2,0.000175
8181,9489,379830.9214,4308457.393,4,0.00017479
8182,18982,393499.624,4323889.3564,4,0.0001745
8183,1116,349261.6756,4297092.481,3,0.0001745
8184,19730,395549.7744,4324644.8398,4,0.00017437
8185,13437,372997.1766,4313235.8004,3,0.00017433
8186,29732,400827.047,4391407.1945,2,0.00017426
8187,13977,373591.8512,4314414.5792,3,0.000174
8188,2837,371417.568,4302458.7844,3,0.00017391
8189,13975,375532.3509,4314412.6037,2,0.0001738
8190,20888,405104.8476,4325932.8958,2,0.00017378
8191,20798,411220.5952,4325939.5197,3,0.00017377
8192,4679,372044.9247,4304567.1873,4,0.00017357
8193,3773,372134.3529,4303934.8088,3,0.00017355
8194,16747,383017.8544,4320200.473,3,0.00017347
