排名,节点ID,X坐标,Y坐标,度数,介数中心性
5324,22041,750217.2256,3860082.7064,3,0.00058488
5325,23184,752348.9175,3862261.6355,3,0.00058487
5326,13940,748469.9675,3850628.1458,3,0.0005834
5327,7052,753452.8152,3843849.953,4,0.00058334
5328,6483,751683.1228,3843100.7371,4,0.00058265
5329,17902,735232.5103,3853809.6968,3,0.00058221
5330,745,750392.5902,3810152.2016,3,0.00058186
5331,22811,741989.8376,3861111.1551,3,0.00058155
5332,7918,718058.8347,3845677.8086,2,0.0005814
5333,13766,742323.7276,3850515.2903,2,0.00058098
5334,7942,710900.3302,3844381.5882,2,0.00058094
5335,7024,755430.1718,3843810.8559,4,0.00058093
5336,12004,749320.1034,3849357.9622,4,0.00058088
5337,8205,681453.1153,3846093.2253,3,0.00058031
5338,9372,743330.9975,3847415.8465,2,0.00057963
5339,24353,740187.8919,3843148.703,4,0.00057913
5340,22938,752730.7572,3861591.2419,3,0.00057832
5341,271,754120.2487,3807883.6461,3,0.0005782
5342,5387,735497.3527,3839882.3319,2,0.00057802
5343,202,756364.5658,3807427.6495,3,0.00057778
5344,2827,761031.4865,3824177.0263,3,0.00057623
5345,8471,684070.3287,3846425.4445,3,0.00057594
5346,23386,743771.2989,3863103.1627,2,0.00057584
5347,19333,766198.4914,3855466.4594,3,0.00057548
5348,6003,744876.7235,3841976.559,3,0.0005747
5349,25018,749081.5501,3850846.2453,2,0.00057465
5350,4072,745070.2307,3831222.5504,3,0.00057453
5351,4138,745566.3115,3831911.5959,3,0.00057399
5352,19589,744691.6105,3855973.8836,3,0.00057394
5353,14576,748529.9622,3851093.8973,3,0.00057327
5354,726,701298.9368,3809976.2614,3,0.00057321
5355,12674,746305.1003,3849821.855,3,0.00057309
5356,849,754558.8475,3811559.0385,3,0.00057276
5357,10008,744166.8733,3848036.0744,2,0.00057122
5358,16935,747421.8105,3852836.5371,4,0.00057043
5359,18862,737427.9775,3855029.8678,3,0.00057042
5360,8545,681546.1882,3846533.446,3,0.00057025
5361,16523,755981.5571,3852650.1406,4,0.00056982
5362,9632,741496.2195,3847748.9992,3,0.00056968
