排名,节点ID,X坐标,Y坐标,度数,接近中心性
4620,26442,268733.1659,4032098.5074,4,0.01842388
4621,33228,207928.2085,4060672.7978,1,0.01842306
4622,32876,240974.9321,4055035.8541,3,0.01842259
4623,26445,271066.1099,4032098.5887,3,0.01842252
4624,28570,277335.3379,4034939.6669,4,0.01842239
4625,27368,274844.4504,4033173.4141,3,0.01842142
4626,18973,236508.1573,4012507.6368,2,0.01842075
4627,27100,271609.9896,4032778.5193,4,0.01841929
4628,19154,280064.8814,4013014.3985,2,0.01841911
4629,28493,271676.8354,4034681.2491,4,0.01841888
4630,27398,275329.7984,4033223.4666,3,0.01841865
4631,29028,278255.9536,4036673.0155,1,0.01841857
4632,19164,243899.1283,4013039.2548,4,0.01841793
4633,25692,268263.0245,4031469.9151,1,0.01841713
4634,16625,268217.3817,4002748.2503,4,0.01841608
4635,16822,238091.221,4004045.5424,4,0.01841596
4636,26399,271579.4742,4032066.0873,4,0.01841526
4637,21196,254695.8076,4016697.175,4,0.01841514
4638,33503,227566.2892,4067327.8861,3,0.01841496
4639,32752,243648.0324,4052015.3373,2,0.01841373
4640,26414,272556.5902,4032072.4193,3,0.01841255
4641,29455,275860.9549,4038040.0246,3,0.01841244
4642,29461,292465.8914,4037897.9146,1,0.01841183
4643,15763,279424.8393,4000401.0291,4,0.01840976
4644,29471,292586.6969,4038060.7223,1,0.01840968
4645,25701,271856.5093,4031478.2466,3,0.01840848
4647,16843,235727.1015,4004111.5177,3,0.01840604
4646,16735,237227.677,4003568.131,3,0.01840604
4649,17933,235948.6977,4006629.0577,1,0.01840543
4648,17009,234568.9532,4004407.3705,1,0.01840543
4650,28302,275702.0589,4034436.8275,4,0.01840515
4651,28769,272023.3378,4035632.3774,3,0.0184033
4652,20345,224018.7349,4015635.25,1,0.01840069
4653,21045,288524.9237,4015564.8209,1,0.01840028
4654,28520,275743.6601,4034736.5249,3,0.01840013
4655,21513,222638.9117,4017116.4872,3,0.01839965
4656,20372,224011.5619,4015652.7726,1,0.01839936
4657,22568,286106.3974,4018904.1056,1,0.01839862
4658,22570,286566.605,4019166.2862,1,0.01839862
4659,22434,283256.5878,4016975.9002,2,0.01839808
4660,22645,285266.9618,4019287.5941,1,0.0183977
4661,33494,227569.1476,4067057.9236,3,0.01839668
4662,37032,265979.7935,4002762.6903,4,0.01839599
4663,17669,230052.1476,4006104.7522,4,0.0183955
4664,18707,255648.4502,4010785.5763,1,0.01839509
4665,26229,270639.2487,4031922.1942,1,0.01839476
4666,37231,262386.2224,4004816.6099,3,0.01839417
4667,15079,264161.6504,3999086.8967,4,0.01839394
4668,28688,273937.42,4035354.4646,3,0.01839381
4669,17638,230546.2497,4005841.8879,2,0.01839358
4670,28223,276271.1833,4034324.7288,4,0.01839356
4671,33483,227790.0261,4066852.1487,3,0.01839341
4672,23648,279966.0325,4021753.9218,3,0.01839287
4673,23771,280484.9916,4022399.3306,1,0.01839266
4674,37247,262305.7147,4004914.4616,1,0.01839246
4675,26341,271945.8143,4032009.3001,3,0.01839241
4676,28010,275969.713,4034057.4748,4,0.0183921
4677,27893,274853.0074,4033882.136,4,0.01839179
4678,21202,254505.9126,4016703.4893,4,0.01839016
4679,19364,280140.3025,4013085.5337,2,0.01839011
4680,18747,239496.3782,4011334.2517,2,0.01838891
4681,33436,228115.775,4066214.7926,3,0.01838888
4682,33383,228160.16,4064745.0437,1,0.01838858
4683,33386,228471.567,4064846.1665,1,0.01838858
4684,16981,269803.6395,4004440.6107,3,0.01838671
4685,17161,269702.9507,4004782.9586,2,0.01838594
4686,33464,228718.6316,4066533.2414,1,0.01838569
4687,28780,272883.7801,4035650.0228,3,0.01838538
4688,27275,271610.2738,4033098.8623,3,0.01838469
4689,15920,263790.007,4000778.5185,4,0.01838377
4690,16054,263380.2176,4001046.5575,4,0.0183825
4691,18028,227718.7003,4006838.202,3,0.01838053
4692,28812,276512.6289,4035769.0096,1,0.01838045
4693,20606,264845.3121,4015829.2421,1,0.01837892
4694,28616,275012.2728,4035102.5886,3,0.01837882
4695,16106,266536.6906,4001212.3022,3,0.01837867
4696,21143,264950.2718,4016649.9002,4,0.01837795
4697,21171,264981.8654,4016669.399,3,0.01837788
4698,21121,264904.8557,4016622.0144,3,0.01837777
4699,16203,282543.0028,4001420.3516,2,0.01837772
4700,25437,272047.6838,4031260.5491,3,0.01837742
4701,37053,265974.7725,4002769.5042,4,0.01837596
4702,25748,270749.4038,4031548.5689,4,0.01837545
4703,16026,263443.2919,4001005.2998,3,0.01837458
4704,36889,267598.578,4001766.7745,3,0.01837198
4705,37015,265984.0462,4002750.1109,4,0.01836999
4706,30597,276607.6684,4040604.4233,3,0.01836953
4707,27483,271581.308,4033320.4708,3,0.01836879
4708,26307,269603.3626,4031967.3184,3,0.01836821
4710,23010,230519.3733,4019691.7514,1,0.0183654
4709,23007,230171.7623,4019899.9177,1,0.0183654
4711,32524,238648.7552,4048595.2921,3,0.01836456
4712,32534,239397.0429,4048643.2821,1,0.01836436
4713,32547,239044.5787,4048760.8121,1,0.01836436
4714,37010,266012.9029,4002710.5719,2,0.01836314
4715,16137,262899.8766,4001270.1191,3,0.01836255
4716,27238,270970.8964,4032992.1921,4,0.01836209
4717,29163,274850.1349,4037270.9833,4,0.01836166
4718,29753,275947.4768,4038567.7881,3,0.01835995
4719,26073,269803.7306,4031781.4435,4,0.01835947
4720,29494,275523.1984,4037990.3204,1,0.01835906
4721,15750,261577.5441,4000368.152,4,0.01835883
