u,v,euclid_dist,source
18372,18759,2727.9,vaccine
11457,13354,4326.9,vaccine
1909,3749,3620.8,vaccine
2785,3762,3552.0,vaccine
11614,11826,1180.9,vaccine
18523,18948,4203.5,vaccine
3327,3709,4595.8,vaccine
1809,2916,2553.6,vaccine
2923,3864,3659.6,vaccine
3765,3910,1463.9,vaccine
1826,3822,4591.5,vaccine
14592,15472,2150.5,vaccine
9147,9255,2256.3,vaccine
3970,4416,3676.1,vaccine
485,492,955.2,vaccine
11696,13553,3121.4,vaccine
492,1262,4169.5,vaccine
5212,5236,3098.3,vaccine
5060,6455,4420.3,vaccine
15022,15981,2859.0,vaccine
446,628,1622.1,vaccine
5977,6411,3881.0,vaccine
13216,14239,2731.8,vaccine
5662,6491,3283.1,vaccine
11464,12021,1894.3,vaccine
1918,2857,4867.5,vaccine
2790,2871,3305.1,vaccine
5596,6554,3379.2,vaccine
1816,2013,2981.4,vaccine
3004,3069,2486.9,vaccine
11297,12178,3584.0,vaccine
1833,2923,3528.8,vaccine
1184,3225,4965.7,vaccine
6469,7512,4752.8,vaccine
4434,4453,1785.9,vaccine
17845,18598,3615.1,vaccine
2878,3161,1523.3,vaccine
4839,5240,1094.1,vaccine
17952,19542,4101.9,vaccine
3089,3308,2144.8,vaccine
4332,4789,4128.4,vaccine
1922,3225,4280.8,vaccine
3148,4070,1735.6,vaccine
10847,11605,1897.8,vaccine
11826,12556,1926.4,vaccine
16284,17122,2054.9,vaccine
18539,18598,1020.4,vaccine
7954,9564,3866.5,vaccine
2699,3148,2269.4,vaccine
5226,5240,3091.8,vaccine
3030,3453,1865.5,vaccine
2790,4623,4444.2,vaccine
7241,7825,3953.3,vaccine
2557,3225,1958.1,vaccine
4762,6227,4155.3,vaccine
404,1053,4254.9,vaccine
4418,5514,2812.5,vaccine
8168,9949,3908.3,vaccine
4434,6068,4000.2,vaccine
1837,2040,792.8,vaccine
328,1184,4744.1,vaccine
11857,12999,1385.1,vaccine
842,1053,2418.9,vaccine
2047,2181,943.6,vaccine
11875,14755,4486.7,vaccine
5138,6622,4845.7,vaccine
8824,9949,2527.9,vaccine
5717,6370,4352.6,vaccine
664,1184,3636.5,vaccine
1923,2358,2680.9,vaccine
4388,4794,4640.6,vaccine
12686,12999,306.1,vaccine
13675,15582,3978.5,vaccine
941,2470,4729.0,vaccine
2181,3453,3653.7,vaccine
14396,15347,2228.2,vaccine
2061,2759,4479.2,vaccine
14969,15582,1007.4,vaccine
3958,5862,4918.1,vaccine
11218,11751,3771.7,vaccine
3910,4868,4318.6,vaccine
12008,12867,2872.9,vaccine
16861,17931,3441.3,vaccine
1730,2470,2054.7,vaccine
4596,4835,4330.9,vaccine
2401,3798,3601.2,vaccine
1280,1735,3293.8,vaccine
11889,13191,1977.7,vaccine
4485,5205,2338.6,vaccine
12178,13436,2048.9,vaccine
18728,19252,3863.2,vaccine
7628,8526,4924.7,vaccine
12731,13191,759.1,vaccine
2871,3030,3410.2,vaccine
2909,3860,1374.3,vaccine
5142,5966,2286.1,vaccine
17725,19393,3798.1,vaccine
7949,9250,2673.1,vaccine
9088,9252,3024.1,vaccine
3921,4413,3340.5,vaccine
10315,12008,3836.1,vaccine
4989,5947,2131.9,vaccine
6194,6469,2894.0,vaccine
18510,18576,4384.5,vaccine
973,1936,4933.6,vaccine
1184,2173,4717.7,vaccine
3747,5347,4559.8,vaccine
4546,4818,4811.9,vaccine
1073,2321,4755.4,vaccine
663,1023,3172.9,vaccine
1932,3119,2673.9,vaccine
4398,6112,4359.0,vaccine
4823,5236,1115.5,vaccine
18236,18688,3052.7,vaccine
932,2319,4893.7,vaccine
1858,2321,3177.7,vaccine
3996,5604,4151.0,vaccine
3069,3301,4509.9,vaccine
18523,18587,4637.5,vaccine
410,971,4150.2,vaccine
18644,18688,3283.3,vaccine
4600,5645,2435.0,vaccine
3184,3719,3565.6,vaccine
4153,4249,4505.6,vaccine
349,1045,4326.1,vaccine
2013,3655,4000.3,vaccine
844,971,2797.9,vaccine
18252,19117,3553.4,vaccine
454,1245,4885.1,vaccine
8348,10266,4143.7,vaccine
5060,6223,3212.5,vaccine
792,1045,2256.8,vaccine
428,1297,4986.0,vaccine
2099,3856,3301.3,vaccine
12021,13364,2452.2,vaccine
13216,13388,4661.9,vaccine
4778,5574,1874.7,vaccine
13604,15577,4097.7,vaccine
876,1297,1628.8,vaccine
2081,2557,4120.5,vaccine
3958,5184,3846.6,vaccine
4448,4851,3979.4,vaccine
1743,2878,2764.8,vaccine
922,2467,4712.9,vaccine
5236,6460,3738.1,vaccine
15864,16071,2306.7,vaccine
1750,3775,4916.2,vaccine
18393,19052,2242.4,vaccine
1053,2699,4274.3,vaccine
4070,5867,4518.4,vaccine
3223,3723,3948.2,vaccine
4051,4970,2620.1,vaccine
4818,5853,3609.2,vaccine
5212,6480,3602.3,vaccine
18273,18405,2651.3,vaccine
2267,2878,4749.9,vaccine
4332,4464,3481.2,vaccine
6099,6464,2062.7,vaccine
2321,3775,3761.8,vaccine
5086,5655,2607.4,vaccine
1890,4000,4436.5,vaccine
2699,2758,1021.2,vaccine
17931,18399,2401.0,vaccine
445,1325,4843.9,vaccine
11249,11973,4792.6,vaccine
2433,3184,1886.1,vaccine
3719,4421,2516.9,vaccine
17725,18514,3840.7,vaccine
323,497,887.0,vaccine
18826,19352,4335.8,vaccine
3921,3958,1503.8,vaccine
11509,13567,3150.0,vaccine
3042,3184,799.2,vaccine
11451,12424,3942.7,vaccine
18249,19546,4023.2,vaccine
3089,4638,3931.9,vaccine
3080,4000,2645.8,vaccine
2916,3241,713.9,vaccine
5226,6484,3615.3,vaccine
8465,10008,3498.2,vaccine
10698,11556,4249.7,vaccine
19542,19762,3495.0,vaccine
3747,4638,4036.0,vaccine
4313,5320,4486.9,vaccine
347,941,4813.9,vaccine
1233,2047,4889.0,vaccine
4272,4815,3533.1,vaccine
4060,4243,1987.9,vaccine
2513,3188,1594.6,vaccine
1932,2047,1412.5,vaccine
2356,2412,1518.0,vaccine
3856,5440,4580.6,vaccine
16694,18686,4784.2,vaccine
11457,11615,1118.5,vaccine
12330,12656,1948.6,vaccine
1257,2519,3722.2,vaccine
11585,11728,4444.1,vaccine
4388,6099,4459.8,vaccine
12178,12732,702.2,vaccine
18125,18686,3524.6,vaccine
4600,5024,4766.2,vaccine
18392,18783,1180.1,vaccine
2013,2519,2647.5,vaccine
2818,3822,1652.9,vaccine
11200,13363,4782.2,vaccine
1596,3762,4574.2,vaccine
18275,18959,2889.3,vaccine
470,1083,4176.9,vaccine
2356,4416,4291.4,vaccine
2319,3709,3863.3,vaccine
2758,3910,2783.6,vaccine
19117,19255,3057.1,vaccine
2099,2857,2071.5,vaccine
3308,3822,1060.8,vaccine
2785,4311,4841.9,vaccine
435,1233,4934.0,vaccine
8243,8549,3247.8,vaccine
2923,4416,3006.7,vaccine
3765,4418,2556.8,vaccine
5439,6415,4282.4,vaccine
1258,1596,3876.9,vaccine
11907,12021,4930.0,vaccine
4778,4960,2304.8,vaccine
1262,2554,4256.2,vaccine
9873,10738,2827.2,vaccine
13653,15472,3711.0,vaccine
4835,6456,4937.7,vaccine
5769,5928,4015.5,vaccine
1750,2790,2603.3,vaccine
4109,4418,3211.4,vaccine
5853,6415,3605.0,vaccine
5212,5977,4208.4,vaccine
1645,2871,4612.9,vaccine
8288,9564,2731.1,vaccine
13756,15981,4510.8,vaccine
15582,15992,2683.6,vaccine
995,1747,3594.7,vaccine
2790,3921,2439.1,vaccine
11615,12033,849.3,vaccine
932,1837,4151.3,vaccine
3996,5419,4830.8,vaccine
2176,2871,2991.5,vaccine
7546,8000,3609.1,vaccine
1816,3161,3313.9,vaccine
11297,13727,4270.2,vaccine
18405,18539,1349.4,vaccine
1083,2013,4354.9,vaccine
4418,4546,4013.8,vaccine
2040,4070,4096.4,vaccine
11693,12591,1244.5,vaccine
2857,2871,3228.3,vaccine
16580,18598,4697.3,vaccine
18598,19804,4598.2,vaccine
12325,12330,1241.0,vaccine
5320,5928,1102.4,vaccine
18528,18710,4301.9,vaccine
3148,4546,3600.3,vaccine
5515,6530,1399.6,vaccine
810,1920,2843.3,vaccine
2699,4070,3374.3,vaccine
12128,12591,562.3,vaccine
5226,5978,3792.2,vaccine
17990,18598,2083.4,vaccine
628,995,3145.9,vaccine
9564,11553,4387.2,vaccine
11772,14447,4583.8,vaccine
3762,4546,2895.0,vaccine
5937,6530,1313.5,vaccine
357,844,2474.2,vaccine
494,1073,3865.4,vaccine
1837,3184,3078.3,vaccine
2857,4623,4340.9,vaccine
3715,4634,4422.4,vaccine
5419,6561,4472.3,vaccine
1140,2040,3769.6,vaccine
5978,6324,3164.3,vaccine
2047,3323,3219.9,vaccine
5236,6229,2715.3,vaccine
434,1053,4176.1,vaccine
6401,6622,1294.3,vaccine
5435,6370,3290.4,vaccine
1261,2358,3172.9,vaccine
11074,12719,4246.5,vaccine
928,2759,4664.7,vaccine
2173,3747,3645.7,vaccine
11796,12908,3262.3,vaccine
1185,2513,3951.1,vaccine
2559,3603,2425.6,vaccine
11539,11722,3968.2,vaccine
2061,3814,3194.9,vaccine
7046,8305,4909.4,vaccine
1596,2759,3671.3,vaccine
2433,2785,4068.3,vaccine
11483,11761,4169.1,vaccine
12455,12908,2351.8,vaccine
2785,3814,1884.3,vaccine
11614,11875,1186.3,vaccine
12751,13353,1177.4,vaccine
4789,5662,3376.5,vaccine
5991,6340,3091.8,vaccine
1809,3030,2732.6,vaccine
3765,3970,4054.8,vaccine
4000,5862,4695.3,vaccine
8549,9127,1644.3,vaccine
14592,15564,2164.1,vaccine
18471,19252,4703.4,vaccine
9147,9487,1480.6,vaccine
2909,4413,3781.4,vaccine
11696,13604,3203.3,vaccine
492,1577,4842.1,vaccine
5142,6491,4756.4,vaccine
4165,4380,4619.1,vaccine
872,1918,3846.6,vaccine
15022,16210,2208.8,vaccine
446,664,2038.1,vaccine
19255,19787,3935.2,vaccine
1645,1826,3060.6,vaccine
1045,3042,4880.1,vaccine
17710,18505,2193.6,vaccine
1816,2061,4554.6,vaccine
11297,12325,4097.2,vaccine
1833,3042,2995.6,vaccine
10557,11467,4801.7,vaccine
